product_id,onsale_web,price,stock_quantity,stock_status,sku,total_sales,post_date,post_title,post_name,post_modified,_merge,poids,Région,Domaine,Appellation,Couleur,Millésime,Contenance,Degré d'alcool
4158,True,18.5,0,True,16093,0.0,2018-02-13 14:48:58,Planeta Sicilia Etna Rosso 2018,8planeta-sicilia-etna-rosso-2018,2020-06-23 18:35:03,both,1.5 kg,Italie,Planeta,Sicilia,Rouge,2020,75cl,13%
4158,True,18.5,0,True,16093,0.0,2018-02-13 14:48:58,Planeta Sicilia Etna Rosso 2018,8planeta-sicilia-etna-rosso-2018,2020-06-23 18:35:03,both,1.5 kg,Italie,Planeta,Sicilia,Rouge,2020,75cl,13%
5826,True,41.2,0,True,15325,4.0,2019-03-27 17:59:49,Agnès Levet Côte Rôtie Améthyste 2017,agnes-levet-amethyste-2017,2020-05-21 14:00:02,both,1.5 kg,Rhône,Agnès Levet,Côte Rôtie,Rouge,2018,75cl,13%
5826,True,41.2,0,True,15325,4.0,2019-03-27 17:59:49,Agnès Levet Côte Rôtie Améthyste 2017,agnes-levet-amethyste-2017,2020-05-21 14:00:02,both,1.5 kg,Rhône,Agnès Levet,Côte Rôtie,Rouge,2018,75cl,13%
5827,True,55.0,11,True,15328,3.0,2019-03-27 18:05:09,Agnès Levet Côte Rôtie Maestria 2017,agnes-levet-cote-rotie-maestria-2017,2020-07-25 15:45:02,both,1.5 kg,Rhône,Agnès Levet,Côte Rôtie,Rouge,2019,75cl,13%
5827,True,55.0,11,True,15328,3.0,2019-03-27 18:05:09,Agnès Levet Côte Rôtie Maestria 2017,agnes-levet-cote-rotie-maestria-2017,2020-07-25 15:45:02,both,1.5 kg,Rhône,Agnès Levet,Côte Rôtie,Rouge,2019,75cl,13%
5829,True,57.0,26,True,15329,3.0,2019-03-27 18:28:15,Agnès Levet Côte Rôtie Péroline 2017,agnes-levet-cote-rotie-peroline-2017,2020-07-28 09:45:02,both,1.5 kg,Rhône,Agnès Levet,Côte Rôtie,Rouge,2019,75cl,13%
5829,True,57.0,26,True,15329,3.0,2019-03-27 18:28:15,Agnès Levet Côte Rôtie Péroline 2017,agnes-levet-cote-rotie-peroline-2017,2020-07-28 09:45:02,both,1.5 kg,Rhône,Agnès Levet,Côte Rôtie,Rouge,2019,75cl,13%
4920,True,24.4,1,True,15530,10.0,2018-05-17 11:17:53,Alain Graillot Crozes-Hermitage Blanc 2018,alain-graillot-crozes-hermitage-blanc-2018,2020-07-28 09:45:02,both,1.5 kg,Rhône,Alain Graillot,Crozes-Hermitage,Blanc,2018,75cl,13%
4920,True,24.4,1,True,15530,10.0,2018-05-17 11:17:53,Alain Graillot Crozes-Hermitage Blanc 2018,alain-graillot-crozes-hermitage-blanc-2018,2020-07-28 09:45:02,both,1.5 kg,Rhône,Alain Graillot,Crozes-Hermitage,Blanc,2018,75cl,13%
4919,True,24.4,0,True,15531,6.0,2018-05-17 11:15:27,Alain Graillot Crozes-Hermitage Rouge 2017,alain-graillot-crozes-hermitage-rouge-2017,2020-07-18 10:55:03,both,1.5 kg,Rhône,Alain Graillot,Crozes-Hermitage,Rouge,2019,75cl,13%
4919,True,24.4,0,True,15531,6.0,2018-05-17 11:15:27,Alain Graillot Crozes-Hermitage Rouge 2017,alain-graillot-crozes-hermitage-rouge-2017,2020-07-18 10:55:03,both,1.5 kg,Rhône,Alain Graillot,Crozes-Hermitage,Rouge,2019,75cl,13%
4918,True,37.2,0,True,15533,24.0,2018-05-17 11:09:36,Alain Graillot Crozes-Hermitage Rouge La Guiraude 2016,alain-graillot-crozes-hermitage-rouge-la-guiraude-2016,2020-04-09 14:00:04,both,1.5 kg,Rhône,Alain Graillot,Crozes-Hermitage,Rouge,2018,75cl,13%
